REGISTERED TOURISM FACILITIES  DATABASE AS AT SEPTEMBER 2022 ,,,,,,,,,,
CODE,PROVINCE,AREA,NAME OF FACILITY,ADDRESS,EMAIL,TELEPHONE,GRADE,EMPL,CAP,ROOMS
BAB 0085,Masvingo,Masvingo,Palmview Guest Lodge ,Scholarstic Mhuri - 27331 Zimre Park Masvingo,palmviewguestlodgemasvingo@gmail.com,0772907224/067-2128588,Comfort,7,32,16
BAB 0086,Mat North,Victoria Falls ,Avril Guest House,Gilbert Makumbe - 571 Nyathi Road Victoria Falls,,0772 302 145,Standard,5,20,10
BAB 0087,Mash West,Kariba ,Cronje  View Lodge ,Pieter Arnoldus Cronje - Satnd 810 Mica Point Kariba ,arno@cronjeca.co.za,013 44453,Comfprt,1,,12
BAB 0088,Manicaland,Nyazura ,Majestic Valley Lodge ,Timothy Kanyongo - Stand 1527 Nyazura Business Centre Nyazura,receiption@majesticvalleylodge.co.zw,0773273889/ 068-26646,Comfort,10,,
BAB 0089,Bulawayo,Bulawayo,Tree Shed Bed and Breakfast,Elton Chivunga - 3A Fife Street Bulawayo ,eltonchivs@gmail.com,0292 884749,,5,32,16
BAB 0090,Harare,Harare,The Devine Nest,Phillip Mbendana - 1/14 George Cresent Midlands Township Waterfalls Harare,devinenest@gmail.com,"0773 622 541,0716 802 023",Two Star,,,
BAB 0091,Mat South,Beitbridge,Managa Lodge,Moffat and Chiedza - Stand 1572 Beitbridge,lerato.ndou07@gmail.com,772544328,Standard,5,,
BAB 0092,Mat North,Vic Falls,Bhejane Lodge,"Dr Agnel D'Sousa - Stand 1182 Aerodrome, Vic Falls",bhjanelodg2gmail.com,775813135,Comfort,7,,
BAB 0093,Harare,Harare,Bishop Mount Centre,F Mutamiri - 102 Bishops Mount Close Greendale Harare,info@bishopmountcentre.co.zw,0773 893 912,,3,18,9
BAB 0094,Harare,Harare,The Sable Lodge -City,Ronald J Kituli - 95 Selous Avenue Harare,kitulijames@gmail.com,0782 849 041,Stancdard,5,62,31
BAB 0095,Manicaland,Rusape,Castle Base Lodge ,P A Chinamasa - 7620 Castle Base Road Rusape,mtrumana@gmail.com,0772 125 938,Standard,5,28,14
BAB 0096,Bulawayo,Bulawayo,The Mhlophe Bed And breakfast,V Moyo - 19703 Kinmont Avenue Barham Green Bulawayo,victormoyo1973@gmail.com,0773 204 283,Standard,10,60,27
BAB 0097,Mash West,Kariba ,Waterfront Resort,T Matiki - 1551 Lake Drve Kariba ,waterfrontresorthotel@gmail.com,0772 224 351,,5,24,12
BAB 0098,Harare,Harare,Barton Villa Guest House,N F Musekiwa - 681 Barton Close Prospect Waterfall Harare,musekiwanyasha@gmail.com,0717 922 020,,3,,
BAB 0099,Manicaland ,Penhalonga ,Lake Alexander Country Resort,T Kanyongo - Lot 2 Drennan Penhalonga ,ksmadzimz@gmail.com,0779 271 925,,8,18,
BOAT CRUISES,,,,,,,,,,
BCY 0005,Mash West,Chirundu,Tiger Safaris (Pvt) Ltd,"Plot CL 9 - P O Box 1, Chirundu – M M Reed",booktigersafaris@gmail.com,"063-7-633,0778 020 699,0773 645 484",Standard,5,,
BCY 0036,Mat North,Victoria Falls,Zambezi Wilderness Safaris (KF 1263),"J S Brown - 411 Livingstone Way, Victoria Falls",zws@mweb.co.zw,0832844737/9,,1,40,1
BCY 0037,Mat North,Victoria Falls,Zambezi Wilderness Safaris (KF 2077),"J S Brown - 411 Livingstone Way, Victoria Falls",zws@mweb.co.zw,0832844737/9,,1,16,1
BCY 0050,Mat North,Victoria Falls,Shearwater Adventures   ,"Shop 2 Sopers Arcade Parkway- P. O. Box 125, Victoria Falls",tours@shearwater.co.zw,0773 461 716,,,,
BCY 0051,Mat North,Victoria Falls,Dabula Safaris Pure Africa ,"280 Holland  Road, Victoria Falls",accounts@dabula.co.zw,0832844618,,,,
BCY 0053,Mat North,Victoria Falls,Shearwater Cruises ,"Stand No 445, Industrial Sites, Victoria Falls",reservations@shearwater.co.zw,0773 461 716,,9,,
BCY 0055,Mat North,Victoria falls,Kalai Safaris,"Shop no. 9 , Trading Post, Victoria falls",kalaisaf@africaonline.co.zw,013 45843,,4,,
BCY 0057,Mat North,Victoria Falls,Wild Horizons (KF 2316),Halam Enterprises Pvt Ltd - 1021 Holland Road Victoria Falls,shane@wildhorizons.co.zw/garya@wildhorizons.co.zw,0832842001,,,,
BCY 0058,Mat North,Victoria Falls,Wild Horizons (KF 1890),Halam Enterprises Pvt Ltd - 1021 Holland Road Victoria Falls,shane@wildhorizons.co.zw/garya@wildhorizons.co.zw,0832842001,,,,
BCY 0059,Mat North,Victoria Falls,Wild Horizons (KF 2387),"Halam Enterprises Pvt Ltd/Shane White, Gary Archer - 1021 Holland Road Victoria Falls",shane@wildhorizons.co.zw/garya@wildhorizons.co.zw,0832842001,,,,
BCY 0060,Mat North,Victoria Falls,Zambezi Explorer,Trevor Lane-Shop 10 Sopers Arcade Victoria Falls,accountsvf@pure.africa ,0832844618,,,,
BCY 0063,Mat North,Victoria Falls ,Zambezi wilderness Safaris (KF 2924 ),S Burr -  Illala Lodge 411 Livingstone Way.P O Box 18 Victoria Falls.                 ,raikane@ilalalodge.co.zw,0832844737/9,Comfort,2,16,
BCY 0064,Mat North,Victoria Falls ,Zambezi wilderness Safaris (KF 2923 ),S Burr -  Illala Lodge 411 Livingstone Way.P O Box 18 Victoria Falls.                 ,raikane@ilalalodge.co.zw,0832844737/9,Comfort,4,16,
BCY 0066,Mat North,Victoria Falls ,Wild Horizons (KF 2878) ,Alberto De Leo - 1021 Holand Rd Victoria Falls.,info@wildhorizons.co.zw,0832842001,,4,,
BCY 0067,Mash Central,Kanyemba,River God Adventures (KF 2989),C Meredith &F Makovah - Msuna Safaris 149 arcturus Road Highlands Harare.,"cuan@tci.co.zw,info@rivergodadventures.com","0712 613 754,09 880663",,5,8,
BCY 0068,Mat North,Victoria Falls ,Bushtracks  Zimbabwe  ( Victoria KF 4017),Solomon Makwembere & R I Gammon - 287 Miles Road P O Box Victoria Falls ,zimbabwe@bushtracksafrica.com,02132845176/7,,4,20,
BCY 0069,Mat North,Victoria Falls ,Siyalamukela Tours ,Oscar Ndhlovu - Zambezi River Victoria Falls 36 Clark Road Victoria Falls ,reservations@zambeziexpedition.co.zw,0772 656259,Standard,3,40,
BCY 0080,Mat North,Victoria Falls ,Bushtracks Zimbabwe - Darter KF 1456,"R Gammon & I Makwembere - 287 Miles Road, P.O Box 80, Victoria Falls",zimbabwe@bushtracksafrica.com,"09 246430, 243954/ 083 8262/ 24293",,4,,
BCY 0081,Mat North,Victoria Falls ,Bushtracks Zimbabwe - Coromont  KF 2187,"R Gammon & I Makwembere - 287 Miles Road, P.O Box 80, Victoria Falls",zimbabwe@bushtracksafrica.com,02132845176/7,,4,,
BCY 0085,Mat North,Victoria Falls ,Shearwater Cruises,A Roberts - Shop 1-2 Sopers Arcade Parkway Drive Viuctoria Falls ,reservations@zhcvf.com,0773 461 716,,5,50,
BCY 0091,Mat North,Victoria Falls ,Shearwater Cruises,"Shearwater Adventures, Shop 1-2 Sopers Arcade Parkway Drive Victoria Falls",emily@shearwatervf.com,0773 461 716,,,,
BCY 0093,Bulawayo,Bulawayo,The Mana Pools Tranfers Company,C G Meredith - 4 Josiah Cchinamano Road Belmont Bulawayo,info@manatransfers.com,09 65741/2/3,,2,8,
BCY 0096,Mat North,Victoria Falls ,Wild Horizons (KF 3145) ,Alberto De Leo - 1021 Holand Rd Victoria Falls.,barbara@wildhorizons.co.zw ,0832842001,,4,40,
BCY 0099,Mat North,Victoria Falls ,Outpost Africa Tourism,Andrew Lane - 231 Sopers Cresent Victoria Falls ,manager@outpostafrica.com,04 852695,,2,,
BCY 0100,Mat North,Victoria Falls,Wild Horizons (KF 3396),"Shingi Munyezu - 516 Brooke Drive, Borrowdale Brooke, Harare",info@wildhorizons.co.zw,0832842001,,,,
BCY 0102,Mat North,Victoria Falls ,Khanondo Safaris & Tours  ( KF 2419),O Mpofu - Shop 1 -2 Bata Building Livingstone Way Victoria Falls ,reservations@khanondotravel.com,0773 928 761,,,60,
BCY 0103,Mat North,Victoria Falls ,Khanondo Safaris & Tours  ( KF (2420),O Mpofu - Shop 1 -2 Bata Building Livingstone Way Victoria Falls ,reservations@khanondotravel.com,083 2844884,,,60,
BCY 0104,Mat North,Victoria Falls ,Khanondo Safaris & Tours  ( KF (2662),O Mpofu - Shop 1 -2 Bata Building Livingstone Way Victoria Falls ,reservations@khanondotravel.com,083 2844884,,,60,
BCY 0105,Mash West,Kariba ,BeWildered Safaris (KF 717),B Chakafa - 1322 Nyamhunga Kariba ,bchalibamba32@gmailcom,0779 868 505 ,Standard,3,40,
BCY 0106,Mash West,Mana Pools ,Nyamatusi Camp Boat Cruises,N Pozzo - Mana Pools 16 Preston Drive Alexandra Park Harare,accounts2@africanbushcamps.com,0772 126 987,,31,8,
BCY 0108,Masvingo,Masvingo,Ruyamuro Tours & Boat Cruises (K F 3682),T Maurikira - Lake Mtirikwi 572 Campbell Avenue Harare,yrmaurikira@gmail.com,"0779 407 107,0771 855 358",,2,12,
BCY 0109,Masvingo,Masvingo,Ruyamuro Tours & Boat Cruises (K F 3683),T Maurikira - Lake Mtirikwi 572 Campbell Avenue Harare,yrmaurikira@gmail.com,"0779 407 107,0771 855 358",,2,8,
BCY 0110,Mat North,Vic Falls,Mpala Jena - Boat Cruise,"Kevin D Lang - 10 km into the Zambezi Nat Park, Vic Falls. P Bag 9245 Hillside Bulawayo.",jenampala@gmail.com,773249990,,2,,
BCY 0111,Mat North,Vic Falls,Mpala Jena - Boat Cruise,"Kevin D Lang - 10 km into the Zambezi Nat Park, Vic Falls. P Bag 9245 Hillside Bulawayo.",jenampala@gmail.com,773249990,,2,,
BCY 0112,Mash West,Kariba ,Lwizi Tours ,B T Kabasa - 842 Mica Point Kariba ,benkabasa@ilovekaribna.com,0778 086 500,Comfort,,,
BCY 0113,Mash West,Kariba,Addie Junior Tours & Cruises,A Mushongahande - Stand 426 Nyamhunga Drive Kariba ,addiejuniors@gmail.com,0773 923 336,,1,6,
BCY 0115,Mash West,Manapools,Tailormade Safaris - BOAT CRUISE,Humphrey M Gumpo - Manapools - 4 Mhembwe Close Mahombekombe Kariba,humphrey@tailormade-safaris.com,0775 384 475,,2,8,
BOATS  HOUSE BOATS ,,,,,,,,,,
BHB 0001,Mash West,Kariba,Southern Belle ,"Marine Land Harbour, Kariba 33 Edison Cresent Graniteside Harare",itshuma@doves.co.zw,0772 407 426,,2,44,
BHB 0053,Bulawayo,Bulawayo,The Meremaid T/A C R Ranching ,"C D Rogers - Box 8419 Belmont,Bulawayo",richard@prfe.co.zw,0782 735 891,,,15,7
BHB 0055,Mash West,Kariba,Drifter Houseboat,"D N McMaster – Stand 740 Chawara, Box 180,Kariba",sanya@zol.co.zw,061 2393/ 2876 /2393/ 0772 241 630,,4,16,1
BHB 0064,Bulawayo,Bulawayo,Power Sails,"Kingdom Calls, Marineland-P. O Box 1039, Bulawayo",atr@powersales.co.zw,04 303371,,4,6,3
BHB 0066,Mash West,Kariba ,Sunsports (Pvt) Ltd,"Lake Kariba- P.O Box BW1626, Borrowdale",roberts@zol.co.zw,"04 495119,480703",,,8,4
BHB 0071,Mash West,Kariba,Vunduful,"Muzhanje Farm, P.O Box 146, Mvurwi",,"04 860466, 860275",,,10,5
BHB 0072,Mash West,Kariba ,Malachite Houseboat,M B Shaun - Cutty Sark Harbour Kariba ,zambezidrift@gmail.com,0772 270 216,,4,16,
BHB 0079,Masvingo,Masvingo,Little Mermaid Houseboat,Christopher David Rogers - Tokwe Mukosi Dam 22 Bristol Road South Belmont Bulawayo,richard@prfe.co.zw,"07338811,04 338895",,3,,
BHB 0087,Mash West,Kariba,African Queen Houseboat,"S.Haroy- Kariba Breezes,Kariba",,0778 194 594,,2,,
BHB 0098,Mash West,Kariba,Matusadonha Houseboat,"Tim Featneby- 1 Impala Drive, Kariba",bookings2@marineland.co.zw,0771 674 323,,,,
BHB 0101,Mash West,Kariba ,Mirabel Houseboat ,M Khumbula & L N Sher - 77 Coventry Road Workington Harare.,laurence@intergroup.com,"0772 584 097,0774 084 660",Standard,3,12,2
BHB 0102,Mash West,Kariba ,Peregrine Houseboat ( KF 1119),C McMaster - Cutty Sark Hobour Kariba Box 196 Kariba ,zambezidrift@gmail.com,0772 429 255,Standard,4,16,4
BHB 0104,Mash West,Kariba ,Shikra Houseboat (KF 093),Philip F Dobinson - Andora Harbour Kariba P O Box 35 Selous,phil@dunhuramambo.com,0712 613 000,Comfort,3,30,
BHB 0105,Mash West,Kariba ,Karabezi Houseboat (KF 1507),Philip F Dobinson - Andora Harbour Kariba P O Box 35 Selous,phil@dunhuramambo.com,0772 568 834,Comfort,3,25,12
BHB 0106,Mash West,Kariba ,African Dream Houseboat,Lucas G P L Schmitter & Andrew I Lawson - Chawara Harbour Kariba 7 Thames Rd Vainona Harare,info@drtlaw.co.zw,0772 905 250,Luxury,32,16,8
BHB 0107,Mash West,Kariba ,Umbozha Houseboat,Philip F Dobinson - Andora Harbour Kariba P O Box 35 Selous,admire@dunhuramambo.com,013 44751/63,Comfort,,30,15
BHB 0108,Mash West,Kariba ,Sahwira Houseboat ,Nyaradzo Funeral Assurance Company - Andora Harbour Kariba ,booking@sahwiraleisure.com,"0712 608 196, 0712 210 612",Standard,5,26,13
BHB 0109,Mash West,Kariba ,This Is It Houseboat ,Nyaradzo Funeral Assurance Company - Andora Harbour Kariba ,bookings@sahwiraleisure.com,0717 401 156,Standard,2,12,
BHB 0110,Mash West,Kariba,Philadhelpihia Houseboat,"Michael Gordon Smith- Kariba Breezes Harbour, Kariba",,0772 205 945,comfort,3,,
BHB 0112,Mash West,Kariba,Lady May Houseboat,Stephen Enderby -  Marineland Harbour Kariba,sendyby@eftcorp.com,0776 821 735,,6,12,6
BHB 0113,Mash West,Kariba,Zimbabwe Dream Houseboat,Dimelock Investment - 7 Thames Road Vainona Harare,andylaw@mweb.co.zw,0242 252767/9,Luxury,,16,8
CARAVAN PARKS ,,,,,,,,,,
CCP 0013,Mat North,Binga,Binga Rest Camp,A & Y Visser - Binga Rest Camp Stand 195 Binga P O Box 9 Binga,bingarest@yoafrica.com,0773246 698,Standard,,,
CCP 0022,Masvingo,Gonarezhou,Gonarezhou Campsite ,Hugo F Van Der Westhuizen - Gonarezhou National Park P Bag 7003 Chiredzi ,"raphael@gonarezho.org,elsabe.vdwesthuizen@fzs.org","0772 525 475,0777 537 730",,5,,
CCP 0023,Mash East,Chewore,Chewore North Camp,"Parks and Wildlife Mngt Authority, Cnr Borrowdale Rd and Sandringham Dr, P.O Box CY 140, Causeway , Harare/ P Bag 9136 Masvingo  ",natparks@africaonline.co.zw,04-707624-9,Standard,,32,15
CCP 0024,Mash West,Chinhoyi,Chinhoyi Camp,"Parks and Wildlife Mngt Authority, Cnr Borrowdale Rd and Sandringham Dr, P.O Box CY 140, Causeway , Harare/ P Bag 9136 Masvingo  ",natparks@africaonline.co.zw,04-707624-9,Standard,,32,15
CCP 0025,Harare,Harare,Chimanimani National Park,"Parks and Wildlife Mngt, Cnr Borrowdale Rd and Sandringham Dr, P.O Box CY 140, Causeway , Harare/ P  Bag Q 7761 Mutare  ",natparks@africaonline.co.zw,020-42345/42144,,,8,4
CCP 0027,Masvingo,Masvingo,Mayfair Camp,"Parks and Wildlife Mngt Authority, Cnr Borrowdale Rd and Sandringham Dr, P.O Box CY 140, Causeway , Harare/ P Bag 9136 Masvingo  ",natparks@africaonline.co.zw,04-707624-9,Standard,,32,15
CCP 0029,Masvingo,Masvingo,Nyamanechi Camp,"Parks and Wildlife Mngt Authority, Cnr Borrowdale Rd and Sandringham Dr, P.O Box CY 140, Causeway , Harare/ P Bag 9136 Masvingo  ",natparks@africaonline.co.zw,04-707624-9,Standard,,32,15
CCP 0030,Bulawayo,Bulawayo,Rowallan Adventure Park,Neil William Rix - Rowallan Park Matopo National Park Buylawayo ,admin@rowallan.co.zw,0772 144 521,,3,12,6
CCP 0031,Harare,Chitungwiza,Damview Campsite,Alfred H Mumba &Jesse Takavadii - 242 Guzha Chitungwiza.,jessetakavadi94@gmail.com,"0712 213529 ,0772 420760",Not yet Graded,13,24,12
CCP 0032,Midlands ,Zvishavane,Palawani Lake World Resort,Munyaradzi Emily Hwengwere - 50 km Peg Gweru Zvishavane Road Zvishavane,palawaniresort@gmail.com,"0772 869 195,0712 430 783",,4,12,
CCP 0034,Harare,Harare,Lake Cunningham,"Parks and Wildlife Mngt, Cnr Borrowdale Rd and Sandringham Dr, P.O Box CY 140, Causeway , Harare/ P  Bag Q 7761 Mutare  ",natparks@africaonline.co.zw,020-42345/42144,,,8,4
CCP 0035,Harare,Harare,Ewanrigg Botanical Garden,"Parks and Wildlife Mngt, Cnr Borrowdale Rd and Sandringham Dr, P.O Box CY 140, Causeway , Harare/ P  Bag Q 7761 Mutare  ",natparks@africaonline.co.zw,020-42345/42144,,,8,4
CCP 0036,Mash West,Kariba ,Tashinga Campsite,C D Wells - Matusadonha National Park  Kariba ,chrispenc@africanparks.org,0773 541 138,,3,40,20
CONFERENCE FACILITY,,,,,,,,,,
CFO 0001,Harare,Harare,The Rainbow Towers Hotel & Conference Centre,1 Pennefather Ave - P Bag 7752 Causeway Harare,,"0778 678 168,0773 448 619",,12,4500,1
CFO 0003,Harare,Harare,Celebration Conference Services,T Deushle - 162 Swan Drive Borrodale West Harare.,postmaster@htwm.co.zw,0772 817 895,,69,2000,1
CFO 0008,Harare,Harare,Zimbabwe Agricultural Society ,Cnr S.Machel/R.Tangwena/Harare,,04 780963-5,,80,,
CFO 0013,Harare,Harare,Zimbali Gardens ,"TA Tapfuma & T Kanyorowa 26 Cecil Road, Greendale, Harare",tklogic@logicpay.co.zw,0772 810 252,,11,1000,
CFO 0018,Midlands ,Kwekwe,Gulez Conference Centre,Patricia Mashoro - 2649 Harare Road Kwekwe,pmashoro@gmail.com,055 2547519,,,,
CONFERENCE OPERATORS,,,,,,,,,,
COR 0015,Harare,Harare,Lily Casablaca Events Planners,S Ncube - 16 Rudland Avenue Belvedere Harare,info@lilyeventplanners.co.zw,0771 733 989,,3,,
CAMPS ,,,,,,,,,,
CPS 0002,Mat North,Victoria Falls,Elephant Camp Wild Horizons ,Woodlands Estate - P O Box 159 Victoria Falls - C W White  ,info@wildhorizons.co.zw,083 2842001, ,28,12,6
CPS 0003,Mat North,Victoria Falls,Imbabala Safari Camp,Stand 1021 Holland Rd Victoria Falls – G D Jones  ,wildhori@mweb.co.zw/info@wildhorizons.co.zw,"04 2900846/7,0772 382 946,742069",Not yet Graded,24,12,7
CPS 0017,,Chewore,Big Five Safaris,"Chewore North Safari Area - Geraldine McLaughlan-54 Edinburgh Rd Borrowdale P O Box CY 1949, Causeway, Harare        ",caroline.sakundla@gfuel.org,0242 852077,Not Yet Graded,11,12,6
CPS 0022,Mash West,Mana Pools ,Stretch Ferreira Safaris Pvt Ltd,A. Jan Ferreira - Mana Pools National Park 87 Hawick Road Pomona Harare.,bookings@stretchsafaris.com,0772 351 222,Standard,14,10,5
CPS 0025,Mash West,Matusadonha,Rhino Safaris Camp, K Wright –  Muuyu Site Matusadona National Park -    P O Box 4456 Harare  ,rhinosaf@mweb.co.zw,"0712 608 196, 0712 210 612,0776 425 470",,10,14,7
CPS 0031,Masvingo,Save,Save Safaris,"LJ du Plessis & M Payne- Lot 2 Matendere Ranch, Save Conservancy,P.O Box CH381 Chisipite",info@savesafaris.com,0772 386 427,,,,
CPS 0037,Masvingo,Save,Mokore Safaris,"Barrie Duckworth, 7 Stable Close, Borrwodale, Harare, Mokore Ranch, Save Valley Conservancy  ",mokore@mokore.com,0712 608 503,Not yet Graded,40,14,7
CPS 0040,Mat North,Hwange,Ledgeback Safaris -  Somalisa Camp,"Shelley Cox, Beks Ndlovu-Hwange National Park  –  16 Preston Drive, Alexandra Park, Harare",mcebisi@africanbushcamps.com,0772210549,Luxury,3,,
CPS 0043,Bulawayo,Bulawayo,Kazuma Hunting Camp,71 Fife St Box 467 Bulawayo,pili@ngamosafaris.co.zw,0292276009,Not Yet Graded,8,10,5
CPS 0044,Masvingo,Chiredzi,SSG Safaris ,"N M Dzingai - 29 Impala Drive, Box 473 Chiredzi",ssgsafaris@zol.co.zw,0772 255 653,Not Yet Graded,11,,
CPS 0047,Bulawayo,Bulawayo,Amandundumela Hunting Camp,71 Fife Street-P O Box 467 Bulawayo ,mmoyo@ngamosafaris.co.zw,04 575431,Not yet Graded,6,12,6
CPS 0048,Bulawayo,Bulawayo,Intundla Hunting Camp,"71 Fife Street - P O Box 467,Bulawayo",,09 243954,Standard,12,,
CPS 0055,Mash Central,Dande ,Mupedzapasi Camp,"Charlton McCallum- Dande Safari Area, 14 Yellowoodlane ,Kambanje",,"0242 776341 /074 2775,0772 300 935,0772 226 854",Not Yet Graded,,,
CPS 0056,Mash West,Chewore,Chewore Lodge & Campsite,"W T Kelly - No.8 Edson Cresent,Graniteside,Harare",farida@chewore.com,0772 327 060,Comfort,27,20,10
CPS 0057,,Mana pools ,Dove & Hawk  Safaris t/a Zambezi Crescent,"Mr G.Pangeti 38M Harare Drive , Greystone Park Harare.",mark@tngroup.co.za,0773 835 161,Not yet Graded,,,
